"weight";"word";"color";"url"
"1";"desire";"";""
"1";"Desktop";"";""
"1";"developed";"";""
"1";"DEVELOPER";"";""
"1";"developer";"";""
"1";"developing";"";""
"1";"development";"";""
"1";"DOM";"";""
"1";"donate";"";""
"1";"effectively";"";""
"1";"efficiently";"";""
"1";"EMAIL";"";""
"1";"END";"";""
"1";"every";"";""
"1";"everyone";"";""
"1";"experience";"";""
"1";"EXPERTISE";"";""
"1";"express";"";""
"1";"features";"";""
"1";"finalized";"";""
"1";"finishing";"";""
"1";"first";"";""
"1";"Flexbox";"";""
"1";"FreeCodeCamp";"";""
"1";"FRONT";"";""
"1";"Fundamentals";"";""
"1";"fundamentals";"";""
"1";"Games";"";""
"1";"get";"";""
"1";"GITHUB";"";""
"1";"Grid";"";""
"1";"Grit";"";""
"1";"High";"";""
"1";"highlight";"";""
"1";"highlighting";"";""
"1";"History";"";""
"1";"HOBBIES";"";""
"1";"HTML5";"";""
"1";"https://chingu/toucans-bank.com";"";""
"1";"https://github.com/SpiridonK.com";"";""
"1";"https://hire.scoutible.com/SpiridonK.com";"";""
"1";"https://johnrhead.com";"";""
"1";"https://spiridonko.me";"";""
"1";"https://spyrosko/forest.com";"";""
"1";"https://spyrosko/tribute-fcc.com";"";""
"1";"https://www.freecodecamp.org/certification/thinnling/responsive-web-design";"";""
"1";"https://www.linkedin.com/in/SpiridonK.com";"";""
"1";"https://www.udemy.com/certificate/UC-YV9OFTVO";"";""
"1";"Hustle";"";""
"1";"ImagePROFILE";"";""
"1";"Implemented";"";""
"1";"Important";"";""
"1";"install";"";""
"1";"interact";"";""
"1";"JAVASCRIPT";"";""
"1";"KONOFAOS";"";""
"1";"LESS";"";""
"1";"Line";"";""
"1";"Linkdln";"";""
"1";"Links";"";""
"1";"lnDesign";"";""
"1";"made";"";""
"1";"maintaining";"";""
"1";"Management";"";""
"1";"Manipulation";"";""
"1";"Methodology";"";""
"1";"MVP";"";""
"1";"needed";"";""
"1";"NonProfits";"";""
"1";"NUMBER";"";""
"1";"Objects";"";""
"1";"Occasional";"";""
"1";"online";"";""
"1";"organization";"";""
"1";"Organizational";"";""
"1";"PHP";"";""
"1";"Playing";"";""
"1";"plugins";"";""
"1";"point";"";""
"1";"PORTFOLIO";"";""
"1";"possess";"";""
"1";"principles";"";""
"1";"Problem";"";""
"1";"process";"";""
"1";"PROJECTS";"";""
"1";"psychology";"";""
"1";"Reading";"";""
"1";"real";"";""
"1";"redesign";"";""
"1";"Relationship";"";""
"1";"relationship";"";""
"1";"Responsive";"";""
"1";"retaining";"";""
"1";"schedule";"";""
"1";"Scoutible";"";""
"1";"SEO";"";""
"1";"SKILLS";"";""
"1";"Skills";"";""
"1";"Social";"";""
"1";"SOFT";"";""
"1";"SOFTWARE";"";""
"1";"Solver";"";""
"1";"Sorts";"";""
"1";"SOURCE";"";""
"1";"spark";"";""
"1";"SPIRIDON";"";""
"1";"spyros.konofaos1@gmail.com";"";""
"1";"Squarespace";"";""
"1";"Strategy";"";""
"1";"Strong";"";""
"1";"structure";"";""
"1";"structured";"";""
"1";"styling";"";""
"1";"Super";"";""
"1";"system";"";""
"1";"task";"";""
"1";"Theme";"";""
"1";"Things";"";""
"1";"Thinking";"";""
"1";"thought";"";""
"1";"Time";"";""
"1";"time";"";""
"1";"tools";"";""
"1";"Udemy";"";""
"1";"Understand";"";""
"1";"understandable";"";""
"1";"user";"";""
"1";"using";"";""
"1";"VSCode";"";""
"1";"Walking";"";""
"1";"want";"";""
"1";"web";"";""
"1";"WEBSITE";"";""
"1";"wish";"";""
"1";"within";"";""
"1";"Working";"";""
"1";"written";"";""
